"Unit","Question Number","Question Text","Option A","Option B","Option C","Option D","Correct Answer"
"5","3","Social marketing deals with:","Society","Social Class","Social change","Social evil","B"
"5","4","Effective use of Social media marketing increase conversion rates of","Customer to buyers","Retailer to customers","One buyer to another buyer's","Direct contact of marketer","A"
"5","5","Pure play retailers are called","Market creators","Transaction brokers","Merchants","Agents","B"
"6","1","The term 'consumerism' came into existence in the year","1960","1957","1954","1958","A"
"6","2","Who is the father of Consumer Movement?","Mahatma Gandhi","Mr. Jhon F. Kennedy","Ralph Nader","Jawaharlal Nehru","C"
"6","3","Sale of Goods Act was passed in the year?","1962","1972","1930","1985","C"
"6","4","The Consumer Protection Act came into force with effect from","1.1.1986","1.4.1986","15.4.1987","15.4.1990","C"
"6","5","_______ of every year is declared as a Consumer Protection Day to educate the public about their rights and responsibilities.","August 15","April 15","March 15","September 15","C"
"6","1","The final aim of modern marketing is","Maximum profit","Minimum profit","Consumer satisfaction","Service to the society","C"
"6","2","_______ is the king of modern marketing.","Consumer","Wholesaler","Producer","Reatailer","A"
"6","3","As the consumer is having the rights, they are also having","Measures","Promotion","Responsibilities","Duties","C"
"6","4","Which of the following is not a consumer right summed up by John F. Kennedy","Right to safety","Right to choose","Right to consume","Right to be informed","C"
"6","5","It is the responsibility of a consumer that must obtain _______ as a proof for the purchase of goods he.","Cash receipt","Warranty card","Invoice","All of these","A"
"6","1","The Chairman of the National Consumer Disputes Redressal Council is","Serving or Retired Judge of the Supreme Court of India.","Prime Minister","President of India","None of the above","A"
"6","2","The Chairman of the State Consumer Protection Council is","Judge of a High Court","Chief Minister","Finance Minister","None of the above","A"
"6","3","The Chairman of the District Forum is","District Judge","High Court Judge","Supreme Court Judge","None of the above","A"
"6","4","The State Commission can entertain complaints where the value of the goods or services and the compensation,if any claimed exceed","Rs.2 lakhs but does not exceed Rs.5 lakhs","Rs.20 lakhs but does not exceed Rs.1 crore","Rs.3 lakhs but does not exceed Rs.5 lakhs","Rs.4 lakhs but does not exceed Rs.20 lakhs","B"
"6","5","The International Organisation of Consumers Unions (IOCU) was first established in","1960","1965","1967","1987","A"
"7","1","VUCA stands for","Volatility Uncertainty Complexity and Ambiguity","Value Unavoidable Company and Authority","Volatility Uncontrollable Company and Auction","All of the above","A"
"7","2","GST stands for","Goods and Social Tax","Goods and Service Tax","Goods and Sales Tax","Goods and Salary Tax","B"
"7","3","Factors within an organisation constitutes _______ environment.","Internal Thinker","External Thinker","Fellow human beings","All of the above","A"
"7","4","Macro Environment of business is an _______ factor.","Uncontrollable","Controllable","Manageable","Immanageable","A"
"7","5","The two major types of business environment are _______ and _______","Positive and Negative","Internal and External","Good and Bad","Allowable and Unallowable","B"
"7","1","_______ is the result of New Industrial Policy which abolished the 'License System'.","Globalisation","Privatisation","Liberalisation","None of these","C"
"7","2","_______ means permitting the private sector to setup industries which were previously reserved for public sector.","Liberalisation","Privatisation","Globalisation","Public Enterprise","B"
"7","3","_______ ownership makes bold management decisions due to their strong foundation in the international level.","Private","Public","Corporate","MNC's","A"
"7","4","_______ results from the removal of barriers between national economies to encourage the flow of goods,services,capital and labour.","Privatisation","Liberalisation","Globalisation","Foreign Trade","C"
"7","5","New Economic Policy was introduced in the year","1980","1991","2013","2015","B"
"8","1","Sale of Goods Act was passed in the year","1940","1997","1930","1960","C"
"8","2","Which of the below constitutes the essential element of contract of sale?","Two parties","Transfer of property","Price","All of the above","D"
"8","3","Which of the below is not a good?","Stocks","Dividend due","Crops","Water","B"
"8","4","In case of the sale,the _______ has the right to sell","Buyer","Seller","Hirer","Consignee","B"
"8","5","The property in the goods means the","Possession of goods","Custody of goods","Ownership of goods","Both (a) and (b)","C"
"8","1","Negotiable Instrument Act was passed in the year","1981","1881","1994","1818","B"
"8","2","Number of parties in a bill of exchange are","2","6","3","4","C"
"8","3","Section 6 of Negotiable Instruments Act 1881 deals with","Promissory Note","Bills of exchange","Cheque","None of the above","C"
"8","4","_______ cannot be a bearer instrument.","Cheque","Promissory Note","Bills of exchange","None of the above","B"
"8","5","A cheque will become stale after _______ months of its date:","3","4","5","1","A"
"9","1","Which of the below is a factor of production?","Land","Labour","Entrepreneurship","All of the above","D"
"9","2","Entrepreneur is not classified as","Risk Bearer","Innovator","Employee","Organizer","C"
"9","3","What are the characteristics of an entrepreneur?","Spirit of enterprise","Flexibility","Self Confidence","All of the above","D"
"9","4","Which of the below is not classified into managerial functions?","Planning","Marketing","Organizing","Controlling","B"
"9","5","Which of the below is a commercial function?","Accounting","Coordination","Discovery of idea","Planning","A"
"9","1","Which of the following is the Activity of a Business Entrepreneur?","Production","Marketing","Operation","All of the above","D"
"9","2","Find the odd one out in context of Trading Entrepreneur.","Selling","Commission","Buying","Manufacturing","D"
"9","3","Corporate Entrepreneur is also called as","Intrapreneur","Promoter","Manager","Shareholder","B"
"9","4","Which of these is based on Technology?","Modern","Professional","Corporate","Industrial","B"
"9","5","Which of the below is not a Characteristic of a Fabian Entrepreneur?","Conservative","Risk averse","Sceptical","Adaptive","D"
"9","1","The _______ initiative was launched to modernize the Indian economy to make all governments services available electronically.","Standup India","Startup India","Digital India","Make in India","C"
"9","2","_______ is designed to transform India to a global design and manufacturing hub.","Digital India","Make in India","Startup India","Design India.","B"
"9","3","_______ is the Government of India's endeavour to promote culture of innovation and entrepreneurship.","AIM","STEP","SEED","AIC","A"
"9","4","_______ should cover aspects like sources of finance,technical know-how,source of labour and raw material,market potential and profitability.","TechnicalReport","Finance Report","Project Report","Progress Report","C"
"9","5","_______ has to include the mechanism for managing venture in the project report.","Banker","Government","Lending Institutions","Entrepreneur","D"
"10","1","The Company will have to issue the notice of situation of Registered Office to the Registrar of Companies within _______ days from the date of incorporation.","14 days","21 days","30 Days","60 Days","C"
"10","2","How does a person who envisages the idea to form a company called?","Director","Company Secretary","Registrar","Promoter","D"
"10","3","Which of the following types of shares are issued by a company to raise capital from the existing shareholders?","Equity Shares","Rights Shares","Preference Shares","Bonus Shares","B"
"10","4","The shares which are offered to the existing shareholder at free of cost is known as .","Bonus Share","Equity Share","Right Share","Preference Share","A"
"10","5","The shares which are offered first to the existing shareholder at reduced price is known as .","Bonus Share","Equity Share","Right Share","Preference Share","C"
"10","1","A person Shall hold office as a director in _______ companies as per the Companies Act, 2013.","5 companies","10 companies","20 companies","15 companies","C"
"10","2","A Private Company shall have a minimum of _______.","Seven directors","Five directors","Three directors","Two directors","D"
"10","3","A Public Company having a paid up Share Capital of _______ or more may have a Director, elected by such small shareholder","One Crore","Three Crores","Five Crores","Seven Crores","C"
"10","4","What is the statue of Directors who regulate money of the company.","Banker","Holder","Agent","Trustees","D"
"10","5","According to Companies Act , the Directors must be appointed by the.","Central Government","Company Law Tribunal","Company in General Meeting","Board of Director","C"
"10","1","Mention the status of a Company Secretary in a company.","A member","A director","An independent contractor","An employee","D"
"10","2","Who can become a secretary for a company?","Individual person","Partnership firm","Co-operative societies","Trade unions","A"
"10","3","Which meeting will be held only once in the life time of the company?","Statutory","Annual General","Extra - ordinary","Class General","A"
"10","4","Who is not entitled to speak at the annual general meeting of the company.","Auditor","Shareholder","Proxy","Directors","C"
"10","5","From the date of its incorporation the First Annual General Meeting is to be conducted within _______ months.","Twelve","Fifteen","Eighteen","Twenty one","C"
